1	Q0	1542	1	43,10837	G14R4
29	Q0	2087	101	11,01258	G14R4
29	Q0	3131	102	11,01258	G14R4
29	Q0	944	103	10,122004	G14R4
29	Q0	1408	104	10,122004	G14R4
29	Q0	1738	105	10,122004	G14R4
29	Q0	1854	106	10,122004	G14R4
29	Q0	2018	107	10,122004	G14R4
29	Q0	2067	108	10,122004	G14R4
29	Q0	2114	109	10,122004	G14R4
29	Q0	2138	110	10,122004	G14R4
29	Q0	2621	111	10,122004	G14R4
29	Q0	1145	112	10,112112	G14R4
29	Q0	1834	113	10,112112	G14R4
29	Q0	2220	114	10,112112	G14R4
29	Q0	2232	115	10,112112	G14R4
29	Q0	2288	116	10,112112	G14R4
29	Q0	2390	117	10,112112	G14R4
29	Q0	2470	118	10,112112	G14R4
29	Q0	2683	119	10,112112	G14R4
29	Q0	2709	120	10,112112	G14R4
29	Q0	2737	121	10,112112	G14R4
29	Q0	2764	122	10,112112	G14R4
29	Q0	2912	123	10,112112	G14R4
29	Q0	2986	124	10,112112	G14R4
29	Q0	3004	125	10,112112	G14R4
29	Q0	3077	126	10,112112	G14R4
29	Q0	3079	127	10,112112	G14R4
29	Q0	1116	128	10,0873181	G14R4
29	Q0	2229	129	10,0873181	G14R4
29	Q0	2544	130	10,0873181	G14R4
29	Q0	2657	131	10,0873181	G14R4
29	Q0	2728	132	10,0873181	G14R4
29	Q0	3133	133	10,0873181	G14R4
29	Q0	2424	134	10,0658824	G14R4
29	Q0	46	135	10,0167715	G14R4
29	Q0	78	136	10,0167715	G14R4
29	Q0	202	137	10,0167715	G14R4
29	Q0	241	138	10,0167715	G14R4
29	Q0	282	139	10,0167715	G14R4
29	Q0	319	140	10,0167715	G14R4
29	Q0	322	141	10,0167715	G14R4
29	Q0	397	142	10,0167715	G14R4
29	Q0	405	143	10,0167715	G14R4
29	Q0	479	144	10,0167715	G14R4
29	Q0	492	145	10,0167715	G14R4
29	Q0	796	146	10,0167715	G14R4
29	Q0	849	147	10,0167715	G14R4
29	Q0	851	148	10,0167715	G14R4
29	Q0	860	149	10,0167715	G14R4
29	Q0	861	150	10,0167715	G14R4
29	Q0	867	151	10,0167715	G14R4
29	Q0	942	152	10,0167715	G14R4
29	Q0	961	153	10,0167715	G14R4
29	Q0	1013	154	10,0167715	G14R4
29	Q0	1035	155	10,0167715	G14R4
29	Q0	1046	156	10,0167715	G14R4
29	Q0	1084	157	10,0167715	G14R4
29	Q0	1097	158	10,0167715	G14R4
29	Q0	1099	159	10,0167715	G14R4
29	Q0	1117	160	10,0167715	G14R4
29	Q0	1153	161	10,0167715	G14R4
29	Q0	1154	162	10,0167715	G14R4
29	Q0	1196	163	10,0167715	G14R4
29	Q0	1197	164	10,0167715	G14R4
29	Q0	1198	165	10,0167715	G14R4
29	Q0	1200	166	10,0167715	G14R4
29	Q0	1206	167	10,0167715	G14R4
29	Q0	1226	168	10,0167715	G14R4
29	Q0	1255	169	10,0167715	G14R4
29	Q0	1257	170	10,0167715	G14R4
29	Q0	1258	171	10,0167715	G14R4
29	Q0	1265	172	10,0167715	G14R4
29	Q0	1293	173	10,0167715	G14R4
29	Q0	1323	174	10,0167715	G14R4
29	Q0	1326	175	10,0167715	G14R4
29	Q0	1333	176	10,0167715	G14R4
29	Q0	1362	177	10,0167715	G14R4
29	Q0	1364	178	10,0167715	G14R4
29	Q0	1393	179	10,0167715	G14R4
29	Q0	1394	180	10,0167715	G14R4
29	Q0	1421	181	10,0167715	G14R4
29	Q0	1425	182	10,0167715	G14R4
29	Q0	1432	183	10,0167715	G14R4
29	Q0	1438	184	10,0167715	G14R4
29	Q0	1445	185	10,0167715	G14R4
29	Q0	1454	186	10,0167715	G14R4
29	Q0	1458	187	10,0167715	G14R4
29	Q0	1469	188	10,0167715	G14R4
29	Q0	1471	189	10,0167715	G14R4
29	Q0	1475	190	10,0167715	G14R4
29	Q0	1497	191	10,0167715	G14R4
29	Q0	1519	192	10,0167715	G14R4
29	Q0	1528	193	10,0167715	G14R4
29	Q0	1549	194	10,0167715	G14R4
29	Q0	1572	195	10,0167715	G14R4
29	Q0	1593	196	10,0167715	G14R4
29	Q0	1595	197	10,0167715	G14R4
29	Q0	1614	198	10,0167715	G14R4
29	Q0	1626	199	10,0167715	G14R4
29	Q0	1652	200	10,0167715	G14R4
29	Q0	1665	201	10,0167715	G14R4
29	Q0	1676	202	10,0167715	G14R4
29	Q0	1678	203	10,0167715	G14R4
29	Q0	1679	204	10,0167715	G14R4
29	Q0	1713	205	10,0167715	G14R4
29	Q0	1719	206	10,0167715	G14R4
29	Q0	1723	207	10,0167715	G14R4
29	Q0	1727	208	10,0167715	G14R4
29	Q0	1728	209	10,0167715	G14R4
29	Q0	1733	210	10,0167715	G14R4
29	Q0	1742	211	10,0167715	G14R4
29	Q0	1749	212	10,0167715	G14R4
29	Q0	1766	213	10,0167715	G14R4
29	Q0	1767	214	10,0167715	G14R4
29	Q0	1785	215	10,0167715	G14R4
29	Q0	1787	216	10,0167715	G14R4
29	Q0	1810	217	10,0167715	G14R4
29	Q0	1811	218	10,0167715	G14R4
29	Q0	1855	219	10,0167715	G14R4
29	Q0	1856	220	10,0167715	G14R4
29	Q0	1862	221	10,0167715	G14R4
29	Q0	1867	222	10,0167715	G14R4
29	Q0	1869	223	10,0167715	G14R4
29	Q0	1871	224	10,0167715	G14R4
29	Q0	1886	225	10,0167715	G14R4
29	Q0	1892	226	10,0167715	G14R4
29	Q0	1934	227	10,0167715	G14R4
29	Q0	1935	228	10,0167715	G14R4
29	Q0	2020	229	10,0167715	G14R4
29	Q0	2028	230	10,0167715	G14R4
29	Q0	2033	231	10,0167715	G14R4
29	Q0	2049	232	10,0167715	G14R4
29	Q0	2095	233	10,0167715	G14R4
29	Q0	2111	234	10,0167715	G14R4
29	Q0	2121	235	10,0167715	G14R4
29	Q0	2137	236	10,0167715	G14R4
29	Q0	2142	237	10,0167715	G14R4
29	Q0	2145	238	10,0167715	G14R4
29	Q0	2152	239	10,0167715	G14R4
29	Q0	2162	240	10,0167715	G14R4
29	Q0	2167	241	10,0167715	G14R4
29	Q0	2188	242	10,0167715	G14R4
29	Q0	2189	243	10,0167715	G14R4
29	Q0	2195	244	10,0167715	G14R4
29	Q0	2196	245	10,0167715	G14R4
29	Q0	2204	246	10,0167715	G14R4
29	Q0	2219	247	10,0167715	G14R4
29	Q0	2265	248	10,0167715	G14R4
29	Q0	2275	249	10,0167715	G14R4
29	Q0	2283	250	10,0167715	G14R4
29	Q0	2289	251	10,0167715	G14R4
29	Q0	2299	252	10,0167715	G14R4
29	Q0	2314	253	10,0167715	G14R4
29	Q0	2317	254	10,0167715	G14R4
29	Q0	2319	255	10,0167715	G14R4
29	Q0	2323	256	10,0167715	G14R4
29	Q0	2325	257	10,0167715	G14R4
29	Q0	2344	258	10,0167715	G14R4
29	Q0	2349	259	10,0167715	G14R4
29	Q0	2353	260	10,0167715	G14R4
29	Q0	2388	261	10,0167715	G14R4
29	Q0	2401	262	10,0167715	G14R4
29	Q0	2402	263	10,0167715	G14R4
29	Q0	2416	264	10,0167715	G14R4
29	Q0	2437	265	10,0167715	G14R4
29	Q0	2498	266	10,0167715	G14R4
29	Q0	2500	267	10,0167715	G14R4
29	Q0	2513	268	10,0167715	G14R4
29	Q0	2524	269	10,0167715	G14R4
29	Q0	2527	270	10,0167715	G14R4
29	Q0	2537	271	10,0167715	G14R4
29	Q0	2543	272	10,0167715	G14R4
29	Q0	2549	273	10,0167715	G14R4
29	Q0	2569	274	10,0167715	G14R4
29	Q0	2584	275	10,0167715	G14R4
29	Q0	2623	276	10,0167715	G14R4
29	Q0	2624	277	10,0167715	G14R4
29	Q0	2629	278	10,0167715	G14R4
29	Q0	2651	279	10,0167715	G14R4
29	Q0	2664	280	10,0167715	G14R4
29	Q0	2669	281	10,0167715	G14R4
29	Q0	2682	282	10,0167715	G14R4
29	Q0	2686	283	10,0167715	G14R4
29	Q0	2687	284	10,0167715	G14R4
29	Q0	2712	285	10,0167715	G14R4
29	Q0	2720	286	10,0167715	G14R4
29	Q0	2738	287	10,0167715	G14R4
29	Q0	2739	288	10,0167715	G14R4
29	Q0	2740	289	10,0167715	G14R4
29	Q0	2750	290	10,0167715	G14R4
29	Q0	2776	291	10,0167715	G14R4
29	Q0	2823	292	10,0167715	G14R4
29	Q0	2837	293	10,0167715	G14R4
29	Q0	2850	294	10,0167715	G14R4
29	Q0	2858	295	10,0167715	G14R4
29	Q0	2860	296	10,0167715	G14R4
29	Q0	2862	297	10,0167715	G14R4
29	Q0	2865	298	10,0167715	G14R4
29	Q0	2889	299	10,0167715	G14R4
29	Q0	2916	300	10,0167715	G14R4
29	Q0	2924	301	10,0167715	G14R4
29	Q0	2936	302	10,0167715	G14R4
29	Q0	2956	303	10,0167715	G14R4
29	Q0	2963	304	10,0167715	G14R4
29	Q0	2989	305	10,0167715	G14R4
29	Q0	2991	306	10,0167715	G14R4
29	Q0	2996	307	10,0167715	G14R4
29	Q0	3014	308	10,0167715	G14R4
29	Q0	3015	309	10,0167715	G14R4
29	Q0	3018	310	10,0167715	G14R4
29	Q0	3027	311	10,0167715	G14R4
29	Q0	3030	312	10,0167715	G14R4
29	Q0	3047	313	10,0167715	G14R4
29	Q0	3052	314	10,0167715	G14R4
29	Q0	3055	315	10,0167715	G14R4
29	Q0	3058	316	10,0167715	G14R4
29	Q0	3075	317	10,0167715	G14R4
29	Q0	3085	318	10,0167715	G14R4
29	Q0	3086	319	10,0167715	G14R4
29	Q0	3087	320	10,0167715	G14R4
29	Q0	3095	321	10,0167715	G14R4
29	Q0	3096	322	10,0167715	G14R4
29	Q0	3097	323	10,0167715	G14R4
29	Q0	3106	324	10,0167715	G14R4
29	Q0	3107	325	10,0167715	G14R4
29	Q0	3118	326	10,0167715	G14R4
29	Q0	3121	327	10,0167715	G14R4
29	Q0	3134	328	10,0167715	G14R4
29	Q0	3135	329	10,0167715	G14R4
29	Q0	3142	330	10,0167715	G14R4
29	Q0	3152	331	10,0167715	G14R4
29	Q0	3153	332	10,0167715	G14R4
29	Q0	3163	333	10,0167715	G14R4
29	Q0	3166	334	10,0167715	G14R4
29	Q0	3183	335	10,0167715	G14R4
29	Q0	3199	336	10,0167715	G14R4
29	Q0	40	337	10,0150943	G14R4
29	Q0	1171	338	10,0150943	G14R4
29	Q0	1550	339	10,0150943	G14R4
29	Q0	1768	340	10,0150943	G14R4
29	Q0	1825	341	10,0150943	G14R4
29	Q0	1879	342	10,0150943	G14R4
29	Q0	1924	343	10,0150943	G14R4
29	Q0	1961	344	10,0150943	G14R4
29	Q0	2144	345	10,0150943	G14R4
29	Q0	2176	346	10,0150943	G14R4
29	Q0	2208	347	10,0150943	G14R4
29	Q0	2233	348	10,0150943	G14R4
29	Q0	2276	349	10,0150943	G14R4
29	Q0	2297	350	10,0150943	G14R4
29	Q0	2515	351	10,0150943	G14R4
29	Q0	2568	352	10,0150943	G14R4
29	Q0	2605	353	10,0150943	G14R4
29	Q0	2695	354	10,0150943	G14R4
29	Q0	2746	355	10,0150943	G14R4
29	Q0	3033	356	10,0150943	G14R4
29	Q0	3036	357	10,0150943	G14R4
29	Q0	3115	358	10,0150943	G14R4
29	Q0	3141	359	10,0150943	G14R4
29	Q0	3160	360	10,0150943	G14R4
29	Q0	615	361	10,0145138	G14R4
29	Q0	619	362	10,0145138	G14R4
29	Q0	1014	363	10,0145138	G14R4
29	Q0	1052	364	10,0145138	G14R4
29	Q0	1331	365	10,0145138	G14R4
29	Q0	1433	366	10,0145138	G14R4
29	Q0	1504	367	10,0145138	G14R4
29	Q0	1524	368	10,0145138	G14R4
29	Q0	1609	369	10,0145138	G14R4
29	Q0	1638	370	10,0145138	G14R4
29	Q0	1641	371	10,0145138	G14R4
29	Q0	1709	372	10,0145138	G14R4
29	Q0	1710	373	10,0145138	G14R4
29	Q0	1716	374	10,0145138	G14R4
29	Q0	1724	375	10,0145138	G14R4
29	Q0	1843	376	10,0145138	G14R4
29	Q0	1894	377	10,0145138	G14R4
29	Q0	1915	378	10,0145138	G14R4
29	Q0	1936	379	10,0145138	G14R4
29	Q0	1974	380	10,0145138	G14R4
29	Q0	1976	381	10,0145138	G14R4
29	Q0	1997	382	10,0145138	G14R4
29	Q0	2057	383	10,0145138	G14R4
29	Q0	2146	384	10,0145138	G14R4
29	Q0	2175	385	10,0145138	G14R4
29	Q0	2203	386	10,0145138	G14R4
29	Q0	2249	387	10,0145138	G14R4
29	Q0	2261	388	10,0145138	G14R4
29	Q0	2267	389	10,0145138	G14R4
29	Q0	2306	390	10,0145138	G14R4
29	Q0	2490	391	10,0145138	G14R4
29	Q0	2650	392	10,0145138	G14R4
29	Q0	2667	393	10,0145138	G14R4
29	Q0	2680	394	10,0145138	G14R4
29	Q0	2697	395	10,0145138	G14R4
29	Q0	2701	396	10,0145138	G14R4
29	Q0	2744	397	10,0145138	G14R4
29	Q0	2784	398	10,0145138	G14R4
29	Q0	2798	399	10,0145138	G14R4
29	Q0	2925	400	10,0145138	G14R4
29	Q0	2937	401	10,0145138	G14R4
29	Q0	2948	402	10,0145138	G14R4
29	Q0	2980	403	10,0145138	G14R4
29	Q0	2990	404	10,0145138	G14R4
29	Q0	3001	405	10,0145138	G14R4
29	Q0	3042	406	10,0145138	G14R4
29	Q0	3084	407	10,0145138	G14R4
29	Q0	3164	408	10,0145138	G14R4
29	Q0	531	409	10,0131255	G14R4
29	Q0	1783	410	10,0131255	G14R4
29	Q0	981	411	10,0125786	G14R4
29	Q0	1634	412	10,0125786	G14R4
29	Q0	2878	413	10,0125786	G14R4
30	Q0	1400	1	11,07427	G14R4
30	Q0	2486	2	11,07427	G14R4
30	Q0	3115	3	11,07427	G14R4
30	Q0	953	4	11,07152	G14R4
30	Q0	2917	5	11,07152	G14R4
30	Q0	1726	6	11,06297	G14R4
30	Q0	2537	7	11,06297	G14R4
30	Q0	2947	8	11,06034	G14R4
30	Q0	1926	9	11,05793	G14R4
30	Q0	2631	10	11,05793	G14R4
30	Q0	2819	11	11,05793	G14R4
30	Q0	2501	12	11,04598	G14R4
30	Q0	1455	13	10,0742706	G14R4
30	Q0	1700	14	10,0742706	G14R4
30	Q0	2233	15	10,0742706	G14R4
30	Q0	2299	16	10,0742706	G14R4
30	Q0	2396	17	10,0742706	G14R4
30	Q0	2623	18	10,0742706	G14R4
30	Q0	2916	19	10,0742706	G14R4
30	Q0	1083	20	10,0715198	G14R4
30	Q0	1112	21	10,0715198	G14R4
30	Q0	1170	22	10,0715198	G14R4
30	Q0	1235	23	10,0715198	G14R4
30	Q0	1272	24	10,0715198	G14R4
30	Q0	1324	25	10,0715198	G14R4
30	Q0	1457	26	10,0715198	G14R4
30	Q0	1487	27	10,0715198	G14R4
30	Q0	1491	28	10,0715198	G14R4
30	Q0	1502	29	10,0715198	G14R4
30	Q0	1565	30	10,0715198	G14R4
30	Q0	1591	31	10,0715198	G14R4
30	Q0	1613	32	10,0715198	G14R4
30	Q0	1614	33	10,0715198	G14R4
30	Q0	1616	34	10,0715198	G14R4
30	Q0	1652	35	10,0715198	G14R4
30	Q0	1697	36	10,0715198	G14R4
30	Q0	1824	37	10,0715198	G14R4
30	Q0	2002	38	10,0715198	G14R4
30	Q0	2252	39	10,0715198	G14R4
30	Q0	2341	40	10,0715198	G14R4
30	Q0	2399	41	10,0715198	G14R4
30	Q0	2530	42	10,0715198	G14R4
30	Q0	2582	43	10,0715198	G14R4
30	Q0	2634	44	10,0715198	G14R4
30	Q0	2739	45	10,0715198	G14R4
30	Q0	2923	46	10,0715198	G14R4
30	Q0	3005	47	10,0715198	G14R4
30	Q0	3114	48	10,0715198	G14R4
30	Q0	3120	49	10,0715198	G14R4
30	Q0	3154	50	10,0715198	G14R4
30	Q0	3162	51	10,0715198	G14R4
30	Q0	3175	52	10,0715198	G14R4
30	Q0	2746	53	10,0603448	G14R4
30	Q0	1739	54	10,057931	G14R4
30	Q0	2035	55	10,057931	G14R4
30	Q0	2050	56	10,057931	G14R4
30	Q0	2786	57	10,057931	G14R4
30	Q0	1856	58	10,0567951	G14R4
31	Q0	2557	1	31,21344	G14R4
31	Q0	1517	2	30,226928	G14R4
31	Q0	2302	3	30,226928	G14R4
31	Q0	2919	4	30,226928	G14R4
31	Q0	1700	5	30,190233	G14R4
31	Q0	1660	6	22,16592	G14R4
31	Q0	1952	7	22,16592	G14R4
31	Q0	1796	8	22,12924	G14R4
31	Q0	1423	9	20,330233	G14R4
31	Q0	185	10	20,165926	G14R4
31	Q0	531	11	20,165926	G14R4
31	Q0	595	12	20,165926	G14R4
31	Q0	615	13	20,165926	G14R4
31	Q0	619	14	20,165926	G14R4
31	Q0	670	15	20,165926	G14R4
31	Q0	1134	16	20,165926	G14R4
31	Q0	1384	17	20,165926	G14R4
31	Q0	1415	18	20,165926	G14R4
31	Q0	1445	19	20,165926	G14R4
31	Q0	1497	20	20,165926	G14R4
31	Q0	1527	21	20,165926	G14R4
31	Q0	1605	22	20,165926	G14R4
31	Q0	1631	23	20,165926	G14R4
31	Q0	1659	24	20,165926	G14R4
31	Q0	1771	25	20,165926	G14R4
31	Q0	1927	26	20,165926	G14R4
31	Q0	2020	27	20,165926	G14R4
31	Q0	2050	28	20,165926	G14R4
31	Q0	2125	29	20,165926	G14R4
31	Q0	2188	30	20,165926	G14R4
31	Q0	2232	31	20,165926	G14R4
31	Q0	2233	32	20,165926	G14R4
31	Q0	2367	33	20,165926	G14R4
31	Q0	2452	34	20,165926	G14R4
31	Q0	2484	35	20,165926	G14R4
31	Q0	2702	36	20,165926	G14R4
31	Q0	2765	37	20,165926	G14R4
31	Q0	2813	38	20,165926	G14R4
31	Q0	2840	39	20,165926	G14R4
31	Q0	2858	40	20,165926	G14R4
31	Q0	2903	41	20,165926	G14R4
31	Q0	2929	42	20,165926	G14R4
31	Q0	2993	43	20,165926	G14R4
31	Q0	3001	44	20,165926	G14R4
31	Q0	3040	45	20,165926	G14R4
31	Q0	3198	46	20,165926	G14R4
31	Q0	1143	47	20,129231	G14R4
31	Q0	1945	48	20,129231	G14R4
31	Q0	2130	49	20,129231	G14R4
31	Q0	3066	50	20,129231	G14R4
31	Q0	2937	51	20,0896	G14R4
31	Q0	2446	52	20,0610022	G14R4
31	Q0	1839	53	11,26923	G14R4
31	Q0	1065	54	11,07513	G14R4
31	Q0	1204	55	11,07513	G14R4
31	Q0	1251	56	11,07513	G14R4
31	Q0	1290	57	11,07513	G14R4
31	Q0	3011	58	11,07513	G14R4
31	Q0	797	59	11,07235	G14R4
31	Q0	946	60	11,07235	G14R4
31	Q0	983	61	11,07235	G14R4
31	Q0	986	62	11,07235	G14R4
31	Q0	1016	63	11,07235	G14R4
31	Q0	1063	64	11,07235	G14R4
31	Q0	1064	65	11,07235	G14R4
31	Q0	1085	66	11,07235	G14R4
31	Q0	1119	67	11,07235	G14R4
31	Q0	1249	68	11,07235	G14R4
31	Q0	1289	69	11,07235	G14R4
31	Q0	1302	70	11,07235	G14R4
31	Q0	1335	71	11,07235	G14R4
31	Q0	1361	72	11,07235	G14R4
31	Q0	1367	73	11,07235	G14R4
31	Q0	1414	74	11,07235	G14R4
31	Q0	1422	75	11,07235	G14R4
31	Q0	1442	76	11,07235	G14R4
31	Q0	1490	77	11,07235	G14R4
31	Q0	1793	78	11,07235	G14R4
31	Q0	1970	79	11,07235	G14R4
31	Q0	1971	80	11,07235	G14R4
31	Q0	2005	81	11,07235	G14R4
31	Q0	2006	82	11,07235	G14R4
31	Q0	2116	83	11,07235	G14R4
31	Q0	2117	84	11,07235	G14R4
31	Q0	237	85	11,061	G14R4
31	Q0	2315	86	11,061	G14R4
31	Q0	2861	87	11,061	G14R4
31	Q0	2935	88	11,061	G14R4
31	Q0	721	89	11,05209	G14R4
31	Q0	2893	90	11,05209	G14R4
31	Q0	2804	91	11,04941	G14R4
31	Q0	2962	92	11,04941	G14R4
31	Q0	3085	93	11,04941	G14R4
31	Q0	558	94	11,04751	G14R4
31	Q0	1569	95	11,04751	G14R4
31	Q0	1802	96	11,04751	G14R4
31	Q0	1805	97	11,04751	G14R4
31	Q0	2241	98	11,04751	G14R4
31	Q0	2242	99	11,04751	G14R4
31	Q0	2243	100	11,04751	G14R4
31	Q0	2244	101	11,04751	G14R4
31	Q0	2684	102	11,04751	G14R4
31	Q0	3091	103	11,04751	G14R4
31	Q0	3122	104	11,04751	G14R4
31	Q0	2015	105	11,03743	G14R4
31	Q0	2093	106	10,388889	G14R4
31	Q0	1608	107	10,269231	G14R4
31	Q0	2001	108	10,269231	G14R4
31	Q0	2275	109	10,269231	G14R4
31	Q0	1721	110	10,166667	G14R4
31	Q0	2606	111	10,14	G14R4
31	Q0	1476	112	10,0751342	G14R4
31	Q0	1008	113	10,0723514	G14R4
31	Q0	1233	114	10,0723514	G14R4
31	Q0	1362	115	10,0723514	G14R4
31	Q0	1654	116	10,0723514	G14R4
31	Q0	1862	117	10,0723514	G14R4
31	Q0	2154	118	10,0723514	G14R4
31	Q0	2486	119	10,0723514	G14R4
31	Q0	3060	120	10,0723514	G14R4
31	Q0	3183	121	10,0723514	G14R4
31	Q0	1015	122	10,0610022	G14R4
31	Q0	1088	123	10,0610022	G14R4
31	Q0	1168	124	10,0610022	G14R4
31	Q0	1365	125	10,0610022	G14R4
31	Q0	1385	126	10,0610022	G14R4
31	Q0	1393	127	10,0610022	G14R4
31	Q0	1416	128	10,0610022	G14R4
31	Q0	1612	129	10,0610022	G14R4
31	Q0	1694	130	10,0610022	G14R4
31	Q0	1769	131	10,0610022	G14R4
31	Q0	1926	132	10,0610022	G14R4
31	Q0	1998	133	10,0610022	G14R4
31	Q0	2084	134	10,0610022	G14R4
31	Q0	2090	135	10,0610022	G14R4
31	Q0	2138	136	10,0610022	G14R4
31	Q0	2145	137	10,0610022	G14R4
31	Q0	2253	138	10,0610022	G14R4
31	Q0	2317	139	10,0610022	G14R4
31	Q0	2351	140	10,0610022	G14R4
31	Q0	2518	141	10,0610022	G14R4
31	Q0	2531	142	10,0610022	G14R4
31	Q0	2662	143	10,0610022	G14R4
31	Q0	2681	144	10,0610022	G14R4
31	Q0	2734	145	10,0610022	G14R4
31	Q0	2864	146	10,0610022	G14R4
31	Q0	2921	147	10,0610022	G14R4
31	Q0	3021	148	10,0610022	G14R4
31	Q0	3027	149	10,0610022	G14R4
31	Q0	3030	150	10,0610022	G14R4
31	Q0	3075	151	10,0610022	G14R4
31	Q0	3090	152	10,0610022	G14R4
31	Q0	3092	153	10,0610022	G14R4
31	Q0	1012	154	10,0514706	G14R4
31	Q0	1238	155	10,0475113	G14R4
31	Q0	1873	156	10,0475113	G14R4
31	Q0	2245	157	10,0475113	G14R4
31	Q0	2301	158	10,0475113	G14R4
31	Q0	2314	159	10,0475113	G14R4
31	Q0	2525	160	10,0475113	G14R4
31	Q0	2580	161	10,0475113	G14R4
31	Q0	3116	162	10,0475113	G14R4
31	Q0	3157	163	10,0475113	G14R4
31	Q0	2402	164	10	G14R4
32	Q0	1504	1	64,23468	G14R4
32	Q0	2177	2	64,2048	G14R4
32	Q0	2695	3	60,268371	G14R4
32	Q0	3139	4	55,23767	G14R4
32	Q0	3164	5	54,31395	G14R4
32	Q0	1456	6	54,29209	G14R4
32	Q0	2289	7	54,23437	G14R4
32	Q0	1847	8	54,22801	G14R4
32	Q0	2178	9	54,20921	G14R4
32	Q0	3018	10	54,20146	G14R4
32	Q0	1116	11	51,29135	G14R4
32	Q0	2883	12	51,25424	G14R4
32	Q0	1563	13	51,24511	G14R4
32	Q0	2763	14	50,31395	G14R4
32	Q0	2769	15	50,309371	G14R4
32	Q0	1935	16	50,292541	G14R4
32	Q0	2524	17	50,292541	G14R4
32	Q0	3100	18	50,292541	G14R4
32	Q0	1432	19	50,292087	G14R4
32	Q0	1828	20	50,292087	G14R4
32	Q0	1947	21	50,292087	G14R4
32	Q0	2125	22	50,292087	G14R4
32	Q0	3033	23	50,292087	G14R4
32	Q0	2195	24	50,290907	G14R4
32	Q0	2052	25	50,275832	G14R4
32	Q0	2986	26	50,266518	G14R4
32	Q0	3156	27	50,266518	G14R4
32	Q0	2923	28	50,252788	G14R4
32	Q0	2484	29	50,20145	G14R4
32	Q0	2877	30	50,200996	G14R4
32	Q0	1481	31	44,28028	G14R4
32	Q0	2161	32	44,28028	G14R4
32	Q0	2444	33	44,28028	G14R4
32	Q0	2461	34	44,28028	G14R4
32	Q0	2790	35	44,28028	G14R4
32	Q0	2290	36	44,24216	G14R4
32	Q0	2172	37	44,23284	G14R4
32	Q0	2430	38	44,23284	G14R4
32	Q0	2476	39	44,23284	G14R4
32	Q0	2568	40	44,23284	G14R4
32	Q0	2752	41	44,23284	G14R4
32	Q0	2934	42	44,23284	G14R4
32	Q0	2059	43	44,2162	G14R4
32	Q0	2619	44	44,2162	G14R4
32	Q0	2368	45	44,2064	G14R4
32	Q0	1961	46	44,1974	G14R4
32	Q0	2490	47	44,1974	G14R4
32	Q0	1145	48	44,1892	G14R4
32	Q0	2630	49	44,1892	G14R4
32	Q0	2980	50	44,1892	G14R4
32	Q0	1482	51	40,28028	G14R4
32	Q0	1727	52	40,28028	G14R4
32	Q0	1822	53	40,28028	G14R4
32	Q0	1851	54	40,28028	G14R4
32	Q0	1916	55	40,28028	G14R4
32	Q0	1925	56	40,28028	G14R4
32	Q0	1937	57	40,28028	G14R4
32	Q0	1983	58	40,28028	G14R4
32	Q0	2411	59	40,28028	G14R4
32	Q0	2447	60	40,28028	G14R4
32	Q0	2570	61	40,28028	G14R4
32	Q0	2920	62	40,28028	G14R4
32	Q0	2925	63	40,28028	G14R4
32	Q0	2975	64	40,28028	G14R4
32	Q0	3040	65	40,28028	G14R4
32	Q0	3124	66	40,28028	G14R4
32	Q0	3125	67	40,28028	G14R4
32	Q0	3172	68	40,28028	G14R4
32	Q0	2015	69	40,242162	G14R4
32	Q0	1934	70	40,232848	G14R4
32	Q0	2189	71	40,232848	G14R4
32	Q0	3008	72	40,232848	G14R4
32	Q0	2155	73	40,189189	G14R4
32	Q0	2701	74	40,189189	G14R4
32	Q0	1423	75	31,31134	G14R4
32	Q0	1721	76	30,210963	G14R4
32	Q0	1839	77	22,2972	G14R4
32	Q0	1285	78	22,04548	G14R4
32	Q0	1286	79	22,04548	G14R4
32	Q0	1576	80	22,04548	G14R4
32	Q0	1577	81	22,04548	G14R4
32	Q0	1683	82	22,04548	G14R4
32	Q0	2340	83	22,04135	G14R4
32	Q0	2787	84	22,03972	G14R4
32	Q0	1429	85	22,03904	G14R4
32	Q0	1662	86	21,04548	G14R4
32	Q0	1968	87	21,04548	G14R4
32	Q0	1610	88	21,0443	G14R4
32	Q0	3138	89	21,0443	G14R4
32	Q0	1836	90	21,04211	G14R4
32	Q0	1696	91	21,0409	G14R4
32	Q0	435	92	21,04023	G14R4
32	Q0	2697	93	21,03978	G14R4
32	Q0	3152	94	21,03978	G14R4
32	Q0	1905	95	21,03904	G14R4
32	Q0	1608	96	20,281038	G14R4
32	Q0	2606	97	20,15012	G14R4
32	Q0	2799	98	20,045931	G14R4
32	Q0	1066	99	20,0454769	G14R4
32	Q0	1369	100	20,0454769	G14R4
32	Q0	1649	101	20,0454769	G14R4
32	Q0	1910	102	20,0454769	G14R4
32	Q0	1931	103	20,0454769	G14R4
32	Q0	2401	104	20,0454769	G14R4
32	Q0	2646	105	20,0442962	G14R4
32	Q0	3176	106	20,0442962	G14R4
32	Q0	3115	107	20,0408978	G14R4
32	Q0	2047	108	20,0406411	G14R4
32	Q0	2186	109	20,040233	G14R4
32	Q0	2494	110	20,0397171	G14R4
32	Q0	2249	111	20,0395222	G14R4
32	Q0	495	112	20,0355223	G14R4
32	Q0	3	113	11,03367	G14R4
32	Q0	61	114	11,03367	G14R4
